MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17653.712394994;-1.824;0.557;0.160;0.232;-0.199;0.984;-0.094;-0.122;-0.015;-0.469;0.833;14.115;-0.242;-0.729;-1.477;-0.007;-0.015;0.002;0.321;0.165;10.236;-102.500;-133.700;-308.500
17653.737941498;-1.832;0.511;0.160;0.230;-0.195;0.969;-0.087;-0.079;-0.012;-0.424;0.820;14.164;-0.288;-0.837;-1.569;-0.013;-0.012;0.006;0.325;0.167;10.253;-103.600;-133.200;-309.200
17653.764810423;-1.832;0.534;0.137;0.230;-0.193;0.980;-0.086;-0.123;-0.014;-0.425;0.818;14.222;-0.282;-0.837;-1.554;-0.006;-0.010;0.004;0.321;0.187;10.229;-102.800;-133.500;-308.200
17653.794810036;-1.832;0.534;0.176;0.229;-0.191;0.969;-0.090;-0.120;-0.015;-0.497;0.794;14.212;-0.278;-0.727;-1.493;0.002;-0.017;0.008;0.325;0.175;10.260;-102.700;-133.400;-309.700
17653.823806147;-1.847;0.527;0.145;0.229;-0.194;0.970;-0.085;-0.121;-0.011;-0.452;0.730;14.412;-0.301;-0.818;-1.564;-0.003;-0.011;0.001;0.321;0.172;10.270;-103.300;-133.400;-309.800
17653.842101572;-1.824;0.542;0.168;0.228;-0.192;0.982;-0.086;-0.121;-0.005;-0.506;0.653;14.649;-0.308;-0.814;-1.553;-0.010;-0.018;0.003;0.325;0.163;10.241;-102.800;-133.400;-308.000
17653.857712006;-1.855;0.557;0.183;0.227;-0.192;0.976;-0.091;-0.123;-0.010;-0.499;0.635;14.600;-0.308;-0.814;-1.553;-0.010;-0.015;0.004;0.318;0.170;10.256;-103.000;-132.600;-309.900
17653.876227557;-1.840;0.519;0.168;0.229;-0.192;0.975;-0.085;-0.122;-0.011;-0.503;0.589;14.619;-0.309;-0.812;-1.561;-0.004;-0.010;0.005;0.309;0.170;10.251;-102.900;-134.100;-308.900
17653.894668869;-1.809;0.565;0.160;0.229;-0.192;0.979;-0.095;-0.117;-0.006;-0.501;0.628;14.384;-0.301;-0.806;-1.564;-0.003;-0.016;0.001;0.325;0.163;10.241;-103.300;-134.000;-309.200
17653.911861554;-1.817;0.534;0.153;0.228;-0.192;0.968;-0.089;-0.119;-0.006;-0.452;0.611;14.360;-0.301;-0.806;-1.564;-0.002;-0.012;0.003;0.321;0.153;10.244;-102.300;-134.100;-307.600
17653.928857001;-1.824;0.550;0.168;0.230;-0.188;0.983;-0.088;-0.119;-0.012;-0.500;0.602;14.374;-0.305;-0.811;-1.557;-0.002;-0.016;0.001;0.301;0.172;10.253;-102.600;-134.300;-309.300
17653.944912613;-1.832;0.542;0.176;0.231;-0.195;0.973;-0.083;-0.124;-0.005;-0.495;0.614;14.141;-0.307;-0.814;-1.562;-0.003;-0.016;0.004;0.328;0.163;10.232;-102.800;-133.600;-307.100
17653.960652194;-1.855;0.527;0.160;0.229;-0.191;0.977;-0.083;-0.125;-0.007;-0.462;0.614;14.140;-0.307;-0.814;-1.562;-0.010;-0.013;0.000;0.337;0.172;10.244;-103.300;-134.200;-309.300
17653.975876802;-1.809;0.542;0.168;0.229;-0.194;0.979;-0.087;-0.122;-0.008;-0.468;0.558;14.232;-0.308;-0.798;-1.559;-0.009;-0.010;0.001;0.316;0.160;10.222;-103.300;-134.300;-309.200
17653.990936357;-1.840;0.504;0.176;0.229;-0.192;0.971;-0.096;-0.126;-0.006;-0.461;0.585;14.142;-0.302;-0.809;-1.562;-0.006;-0.014;0.000;0.321;0.158;10.268;-103.100;-134.300;-308.500
17654.005393515;-1.809;0.565;0.168;0.232;-0.191;0.974;-0.091;-0.119;-0.006;-0.491;0.572;14.084;-0.302;-0.809;-1.562;-0.007;-0.015;0.003;0.316;0.158;10.244;-102.700;-133.700;-307.300
17654.019849358;-1.832;0.534;0.145;0.231;-0.191;0.978;-0.089;-0.124;-0.007;-0.479;0.550;14.115;-0.310;-0.805;-1.562;-0.011;-0.013;0.004;0.316;0.160;10.234;-102.600;-134.100;-309.300
17654.034548716;-1.809;0.534;0.122;0.231;-0.191;0.969;-0.085;-0.123;-0.009;-0.489;0.569;14.121;-0.310;-0.805;-1.562;-0.007;-0.013;0.006;0.316;0.172;10.241;-103.800;-133.900;-308.700
17654.049780786;-1.802;0.565;0.183;0.229;-0.194;0.969;-0.083;-0.118;-0.008;-0.517;0.549;14.104;-0.311;-0.802;-1.564;-0.000;-0.012;0.004;0.325;0.158;10.256;-103.000;-134.300;-307.800
17654.064189038;-1.817;0.527;0.122;0.225;-0.192;0.972;-0.088;-0.122;-0.009;-0.495;0.561;13.987;-0.311;-0.808;-1.561;0.000;-0.011;0.003;0.330;0.165;10.236;-101.800;-133.400;-308.700
17654.079127854;-1.832;0.527;0.168;0.233;-0.196;0.975;-0.095;-0.121;-0.008;-0.497;0.551;13.906;-0.309;-0.808;-1.561;-0.005;-0.015;0.009;0.313;0.175;10.263;-101.300;-134.200;-308.300
17654.093438348;-1.847;0.550;0.160;0.230;-0.193;0.974;-0.090;-0.123;-0.002;-0.510;0.518;14.045;-0.305;-0.804;-1.554;-0.004;-0.014;0.004;0.333;0.165;10.244;-102.400;-134.800;-309.600
17654.108287999;-1.832;0.534;0.206;0.226;-0.195;0.976;-0.089;-0.120;-0.002;-0.452;0.498;14.075;-0.305;-0.804;-1.554;-0.010;-0.016;0.004;0.325;0.160;10.232;-102.700;-134.000;-308.600
17654.122222592;-1.809;0.550;0.160;0.230;-0.194;0.974;-0.090;-0.119;-0.007;-0.536;0.504;13.947;-0.312;-0.800;-1.562;-0.006;-0.011;0.004;0.313;0.160;10.260;-102.800;-133.800;-309.700
17654.135770729;-1.786;0.527;0.153;0.230;-0.193;0.969;-0.086;-0.121;-0.007;-0.491;0.503;13.887;-0.312;-0.800;-1.562;-0.008;-0.009;0.007;0.311;0.156;10.251;-102.800;-134.100;-308.100
17654.149293959;-1.824;0.557;0.168;0.230;-0.198;0.971;-0.086;-0.121;-0.007;-0.514;0.489;13.807;-0.312;-0.799;-1.555;-0.012;-0.014;0.008;0.318;0.163;10.248;-103.300;-134.200;-308.300
17654.162837114;-1.824;0.534;0.176;0.229;-0.193;0.974;-0.083;-0.122;-0.008;-0.437;0.515;13.708;-0.312;-0.799;-1.555;-0.009;-0.014;0.005;0.325;0.139;10.260;-103.300;-134.200;-309.300
17654.177649711;-1.832;0.527;0.145;0.226;-0.191;0.978;-0.084;-0.117;-0.011;-0.533;0.517;13.673;-0.313;-0.796;-1.556;-0.005;-0.012;0.003;0.316;0.170;10.260;-102.700;-134.400;-309.400
17654.192826338;-1.832;0.557;0.145;0.229;-0.195;0.970;-0.092;-0.120;-0.002;-0.492;0.553;13.574;-0.305;-0.798;-1.553;-0.003;-0.010;0.005;0.323;0.165;10.258;-102.700;-134.100;-308.700
17654.208482309;-1.832;0.542;0.153;0.229;-0.192;0.984;-0.085;-0.117;-0.006;-0.431;0.501;13.638;-0.305;-0.798;-1.553;-0.001;-0.013;0.004;0.323;0.182;10.256;-103.700;-134.100;-309.100
17654.224273462;-1.840;0.573;0.153;0.234;-0.190;0.967;-0.082;-0.117;-0.010;-0.492;0.491;13.677;-0.316;-0.803;-1.553;-0.012;-0.015;0.004;0.318;0.167;10.260;-103.500;-133.800;-307.300
17654.239524847;-1.824;0.527;0.168;0.229;-0.190;0.974;-0.084;-0.119;-0.007;-0.324;0.500;13.607;-0.316;-0.803;-1.553;-0.006;-0.008;0.001;0.325;0.148;10.244;-102.400;-134.300;-309.100
17654.255085523;-1.832;0.573;0.145;0.229;-0.192;0.975;-0.082;-0.121;-0.005;-0.498;0.493;13.642;-0.315;-0.805;-1.554;-0.011;-0.012;0.006;0.306;0.163;10.244;-103.700;-134.600;-309.100
17654.269245594;-1.809;0.557;0.160;0.229;-0.193;0.970;-0.089;-0.120;-0.004;-0.467;0.530;13.446;-0.311;-0.808;-1.555;-0.012;-0.016;0.007;0.321;0.182;10.256;-103.300;-134.900;-309.300
17654.283979247;-1.824;0.550;0.191;0.231;-0.196;0.975;-0.086;-0.119;-0.010;-0.442;0.497;13.335;-0.311;-0.808;-1.555;-0.004;-0.015;0.005;0.330;0.156;10.256;-102.000;-134.200;-307.400
17654.297865082;-1.824;0.565;0.168;0.234;-0.189;0.982;-0.082;-0.115;-0.006;-0.484;0.490;13.488;-0.317;-0.796;-1.559;-0.004;-0.012;0.009;0.313;0.175;10.239;-102.800;-134.500;-308.700
17654.311522124;-1.779;0.527;0.160;0.226;-0.193;0.972;-0.085;-0.119;-0.007;-0.469;0.513;13.597;-0.317;-0.796;-1.559;-0.003;-0.012;0.009;0.311;0.148;10.253;-103.700;-134.000;-309.100
17654.32506452;-1.840;0.542;0.198;0.227;-0.190;0.976;-0.079;-0.115;-0.007;-0.511;0.498;13.515;-0.314;-0.803;-1.556;-0.004;-0.016;0.004;0.316;0.165;10.260;-103.300;-134.000;-307.100
17654.33854664;-1.840;0.542;0.153;0.226;-0.192;0.972;-0.083;-0.119;-0.007;-0.486;0.538;13.393;-0.314;-0.803;-1.556;-0.003;-0.013;0.002;0.321;0.148;10.246;-102.900;-133.900;-307.600
17654.352018556;-1.809;0.550;0.137;0.231;-0.195;0.974;-0.084;-0.113;-0.005;-0.485;0.493;13.397;-0.317;-0.799;-1.555;-0.009;-0.011;0.003;0.318;0.160;10.244;-102.600;-133.700;-308.400
