MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
1269.874165901;-1.840;0.511;0.176;0.226;-0.191;0.973;-0.086;-0.132;-0.015;-0.373;0.023;13.661;-0.128;-0.663;-1.672;-0.006;-0.016;0.004;0.323;0.160;10.246;-85.700;-146.900;-316.900
1269.887608733;-1.832;0.550;0.160;0.226;-0.192;0.970;-0.083;-0.131;-0.011;-0.365;0.026;13.682;-0.165;-0.760;-1.749;0.000;-0.009;-0.003;0.318;0.177;10.256;-85.700;-146.200;-317.100
1269.90175636;-1.878;0.565;0.183;0.228;-0.189;0.974;-0.095;-0.133;-0.009;-0.342;-0.008;13.762;-0.176;-0.741;-1.761;-0.007;-0.011;-0.003;0.301;0.167;10.246;-85.400;-146.000;-316.100
1269.918184249;-1.832;0.550;0.168;0.226;-0.194;0.971;-0.082;-0.130;-0.011;-0.373;-0.081;14.032;-0.176;-0.741;-1.761;-0.004;-0.012;0.004;0.321;0.179;10.256;-85.300;-147.000;-316.900
1269.933777148;-1.847;0.534;0.145;0.227;-0.194;0.973;-0.082;-0.134;-0.010;-0.432;-0.080;14.182;-0.185;-0.728;-1.757;-0.010;-0.011;0.007;0.330;0.184;10.272;-84.800;-145.500;-315.700
1269.94768064;-1.870;0.565;0.176;0.224;-0.192;0.976;-0.089;-0.131;-0.010;-0.373;-0.132;14.235;-0.185;-0.728;-1.757;-0.004;-0.014;0.003;0.304;0.175;10.244;-85.600;-146.100;-316.200
1269.961601186;-1.847;0.542;0.183;0.226;-0.195;0.974;-0.081;-0.134;-0.009;-0.404;-0.181;14.158;-0.184;-0.726;-1.760;-0.015;-0.016;0.002;0.328;0.170;10.253;-84.800;-146.700;-317.800
1269.974728406;-1.847;0.557;0.160;0.223;-0.192;0.975;-0.090;-0.135;-0.011;-0.421;-0.134;14.083;-0.184;-0.726;-1.760;-0.008;-0.011;0.001;0.337;0.179;10.234;-85.200;-146.000;-316.900
1269.988237049;-1.802;0.534;0.160;0.227;-0.192;0.973;-0.083;-0.132;-0.011;-0.389;-0.173;14.060;-0.189;-0.726;-1.753;-0.003;-0.013;0.006;0.328;0.172;10.265;-85.300;-146.300;-316.100
1270.001782487;-1.824;0.534;0.160;0.226;-0.188;0.973;-0.085;-0.139;-0.007;-0.392;-0.131;13.987;-0.183;-0.724;-1.747;-0.002;-0.013;0.003;0.328;0.167;10.251;-85.200;-146.400;-317.500
1270.015285223;-1.863;0.542;0.198;0.223;-0.189;0.976;-0.085;-0.134;-0.011;-0.370;-0.181;13.954;-0.183;-0.724;-1.747;-0.006;-0.014;0.004;0.325;0.177;10.239;-85.500;-146.400;-316.800
1270.029076091;-1.840;0.550;0.206;0.224;-0.196;0.958;-0.087;-0.130;-0.009;-0.413;-0.234;14.085;-0.191;-0.721;-1.757;-0.005;-0.017;0.004;0.325;0.158;10.256;-85.100;-146.200;-316.200
1270.042825721;-1.847;0.557;0.153;0.223;-0.191;0.973;-0.083;-0.130;-0.007;-0.422;-0.232;14.092;-0.191;-0.721;-1.757;-0.008;-0.010;0.003;0.330;0.165;10.263;-85.200;-145.600;-318.100
1270.056775988;-1.832;0.542;0.221;0.226;-0.192;0.974;-0.081;-0.130;-0.006;-0.395;-0.251;14.068;-0.200;-0.715;-1.753;-0.006;-0.014;0.000;0.313;0.163;10.244;-85.400;-145.500;-316.500
1270.070311445;-1.824;0.534;0.191;0.228;-0.194;0.960;-0.080;-0.132;-0.009;-0.378;-0.262;14.102;-0.200;-0.715;-1.753;-0.004;-0.011;-0.002;0.318;0.175;10.253;-85.500;-146.300;-315.900
1270.084007022;-1.824;0.557;0.168;0.227;-0.197;0.975;-0.083;-0.132;-0.011;-0.391;-0.259;13.956;-0.194;-0.716;-1.754;-0.011;-0.015;0.003;0.297;0.170;10.260;-85.600;-145.600;-316.400
1270.098003194;-1.870;0.550;0.145;0.225;-0.192;0.971;-0.040;-0.129;-0.011;-0.408;-0.233;13.918;-0.194;-0.716;-1.754;-0.003;-0.014;0.001;0.318;0.177;10.272;-85.400;-146.600;-315.400
1270.111604814;-1.847;0.565;0.183;0.221;-0.195;0.971;-0.086;-0.128;-0.007;-0.411;-0.264;13.788;-0.197;-0.719;-1.752;-0.001;-0.010;0.001;0.316;0.170;10.241;-85.300;-146.500;-318.700
1270.125462012;-1.847;0.534;0.160;0.227;-0.194;0.964;-0.082;-0.131;-0.007;-0.406;-0.255;13.749;-0.197;-0.719;-1.752;-0.008;-0.010;0.003;0.325;0.170;10.251;-85.400;-145.500;-317.200
1270.139018042;-1.847;0.557;0.153;0.223;-0.193;0.976;-0.080;-0.130;-0.014;-0.397;-0.281;13.739;-0.184;-0.722;-1.754;-0.007;-0.010;0.008;0.325;0.167;10.246;-87.200;-146.700;-316.500
