MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
981.19986476;-1.847;0.557;0.160;0.225;-0.193;0.969;-0.084;-0.134;-0.017;-0.350;0.023;14.051;-0.137;-0.660;-1.677;-0.007;-0.015;0.001;0.309;0.182;10.272;-85.700;-145.700;-316.000
981.217428907;-1.855;0.527;0.168;0.226;-0.190;0.973;-0.085;-0.132;-0.007;-0.326;0.019;14.127;-0.180;-0.746;-1.759;0.000;-0.018;0.005;0.328;0.184;10.272;-86.100;-146.000;-316.100
981.23892782;-1.840;0.557;0.176;0.223;-0.194;0.975;-0.086;-0.137;-0.009;-0.368;-0.056;14.431;-0.180;-0.746;-1.758;0.000;-0.011;0.003;0.325;0.177;10.253;-85.800;-146.800;-317.100
981.264596236;-1.863;0.557;0.168;0.226;-0.195;0.954;-0.093;-0.132;-0.006;-0.409;-0.298;14.663;-0.194;-0.742;-1.758;-0.012;-0.016;0.002;0.318;0.163;10.260;-85.000;-145.900;-317.000
981.280420973;-1.847;0.550;0.191;0.225;-0.196;0.978;-0.087;-0.128;-0.006;-0.426;-0.130;14.603;-0.188;-0.735;-1.768;0.001;-0.010;0.001;0.340;0.167;10.232;-85.200;-146.700;-316.700
981.29938257;-1.794;0.534;0.160;0.223;-0.193;0.958;-0.088;-0.133;-0.005;-0.381;-0.096;14.326;-0.190;-0.737;-1.762;-0.001;-0.012;0.003;0.330;0.177;10.248;-85.900;-145.800;-315.100
981.316780879;-1.817;0.527;0.191;0.222;-0.191;0.972;-0.090;-0.130;-0.007;-0.414;-0.113;14.158;-0.196;-0.728;-1.759;-0.007;-0.010;0.002;0.330;0.160;10.244;-84.800;-146.900;-314.600
981.334579299;-1.817;0.527;0.160;0.225;-0.195;0.970;-0.092;-0.133;-0.006;-0.385;-0.170;14.285;-0.196;-0.728;-1.759;-0.007;-0.012;0.004;0.323;0.182;10.234;-85.700;-145.500;-317.000
981.353068736;-1.824;0.565;0.176;0.228;-0.193;0.970;-0.081;-0.129;-0.009;-0.411;-0.224;14.294;-0.191;-0.727;-1.756;-0.009;-0.008;0.004;0.323;0.170;10.239;-85.900;-146.300;-315.900
981.369468871;-1.840;0.550;0.176;0.224;-0.189;0.976;-0.089;-0.128;-0.006;-0.419;-0.199;14.221;-0.198;-0.736;-1.758;-0.012;-0.009;0.009;0.318;0.172;10.265;-85.200;-146.100;-316.100
981.385035632;-1.817;0.527;0.183;0.228;-0.191;0.972;-0.086;-0.133;-0.007;-0.380;-0.185;14.150;-0.198;-0.736;-1.758;-0.008;-0.012;0.001;0.316;0.156;10.258;-85.600;-146.200;-315.600
981.40038399;-1.832;0.565;0.168;0.223;-0.196;0.978;-0.086;-0.128;-0.008;-0.412;-0.199;14.202;-0.197;-0.726;-1.763;-0.002;-0.015;0.007;0.313;0.163;10.239;-85.600;-145.200;-316.900
981.416063735;-1.855;0.550;0.183;0.227;-0.194;0.970;-0.088;-0.133;-0.001;-0.421;-0.181;14.099;-0.196;-0.734;-1.757;-0.005;-0.015;0.003;0.321;0.167;10.246;-85.400;-146.200;-316.300
981.431479674;-1.794;0.550;0.145;0.226;-0.190;0.977;-0.082;-0.134;-0.008;-0.386;-0.216;14.082;-0.196;-0.734;-1.757;-0.010;-0.010;0.005;0.323;0.160;10.248;-85.900;-146.700;-317.500
