MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17807.741735363;-1.840;0.534;0.153;0.216;-0.198;0.972;-0.090;-0.122;-0.016;-0.465;0.760;13.835;-0.359;-0.700;-1.464;-0.006;-0.018;0.005;0.347;0.072;10.244;-119.600;-113.300;-302.800
17807.758454264;-1.840;0.542;0.153;0.204;-0.200;0.973;-0.093;-0.121;-0.005;-0.483;0.709;13.979;-0.407;-0.786;-1.537;-0.006;-0.016;0.004;0.359;0.069;10.246;-119.600;-113.400;-302.900
17807.773808705;-1.840;0.550;0.160;0.219;-0.192;0.974;-0.091;-0.127;-0.008;-0.510;0.624;14.261;-0.407;-0.786;-1.537;-0.003;-0.018;0.009;0.359;0.065;10.268;-119.700;-114.500;-303.300
17807.789998374;-1.840;0.557;0.153;0.220;-0.194;0.967;-0.084;-0.126;-0.007;-0.519;0.574;14.445;-0.421;-0.772;-1.533;-0.012;-0.016;0.003;0.357;0.062;10.263;-119.400;-113.600;-301.300
17807.81139367;-1.824;0.511;0.130;0.234;-0.197;0.970;-0.091;-0.128;-0.004;-0.519;0.544;14.339;-0.417;-0.772;-1.540;-0.007;-0.017;0.007;0.364;0.069;10.244;-119.300;-113.900;-302.000
17807.830746588;-1.840;0.542;0.153;0.219;-0.195;0.973;-0.088;-0.122;-0.009;-0.506;0.519;14.426;-0.417;-0.772;-1.540;-0.006;-0.013;0.002;0.340;0.074;10.260;-119.200;-112.800;-300.200
17807.846484597;-1.840;0.557;0.160;0.218;-0.197;0.969;-0.092;-0.117;-0.013;-0.553;0.537;14.441;-0.431;-0.758;-1.536;-0.008;-0.015;0.002;0.354;0.079;10.241;-118.500;-113.800;-302.100
17807.863131778;-1.832;0.542;0.168;0.219;-0.194;0.970;-0.089;-0.123;-0.006;-0.520;0.559;14.115;-0.419;-0.772;-1.540;-0.004;-0.010;0.004;0.342;0.055;10.270;-119.300;-114.200;-301.100
17807.881564821;-1.832;0.534;0.160;0.217;-0.196;0.971;-0.092;-0.125;-0.004;-0.513;0.555;14.023;-0.419;-0.772;-1.540;-0.007;-0.011;0.009;0.352;0.060;10.251;-119.400;-113.000;-300.300
17807.90182306;-1.840;0.534;0.153;0.218;-0.193;0.971;-0.082;-0.122;-0.007;-0.512;0.518;14.143;-0.421;-0.761;-1.540;-0.001;-0.014;0.006;0.335;0.053;10.258;-119.500;-114.300;-301.300
