MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17509.668736458;-1.817;0.542;0.145;0.229;-0.192;0.966;-0.092;-0.124;-0.009;-0.415;0.826;14.053;-0.245;-0.749;-1.500;-0.010;-0.017;0.003;0.333;0.153;10.234;-102.700;-134.100;-309.500
17509.682800193;-1.817;0.534;0.153;0.229;-0.195;0.972;-0.099;-0.125;-0.005;-0.451;0.840;14.021;-0.245;-0.749;-1.500;-0.006;-0.012;0.001;0.318;0.148;10.256;-103.700;-133.900;-309.900
17509.697918706;-1.878;0.527;0.160;0.226;-0.193;0.973;-0.097;-0.126;-0.006;-0.602;0.728;14.274;-0.289;-0.828;-1.576;-0.012;-0.014;0.003;0.325;0.165;10.270;-103.400;-134.400;-310.200
17509.715570897;-1.809;0.519;0.191;0.220;-0.193;0.967;-0.096;-0.124;-0.000;-0.476;0.652;14.545;-0.306;-0.819;-1.590;-0.007;-0.015;0.004;0.316;0.141;10.234;-103.600;-132.900;-307.600
17509.73385291;-1.824;0.565;0.168;0.229;-0.193;0.975;-0.088;-0.128;-0.002;-0.506;0.631;14.600;-0.306;-0.819;-1.590;-0.006;-0.011;0.006;0.311;0.148;10.244;-103.600;-133.000;-309.600
17509.74997035;-1.802;0.527;0.183;0.228;-0.194;0.973;-0.088;-0.123;-0.009;-0.489;0.634;14.618;-0.305;-0.813;-1.572;-0.012;-0.014;0.004;0.318;0.177;10.251;-102.000;-132.700;-308.400
17509.766715038;-1.817;0.504;0.168;0.229;-0.192;0.970;-0.095;-0.124;-0.004;-0.507;0.661;14.232;-0.302;-0.824;-1.576;-0.004;-0.021;0.001;0.313;0.134;10.244;-102.500;-133.900;-308.900
17509.787174291;-1.840;0.542;0.160;0.231;-0.194;0.970;-0.101;-0.128;0.000;-0.480;0.648;14.208;-0.310;-0.819;-1.571;-0.002;-0.014;0.006;0.321;0.167;10.246;-103.300;-134.000;-309.300
17509.80190894;-1.832;0.534;0.153;0.229;-0.192;0.977;-0.095;-0.127;-0.003;-0.518;0.590;14.292;-0.310;-0.819;-1.571;-0.011;-0.007;0.003;0.318;0.158;10.244;-103.200;-133.800;-309.200
17509.819423392;-1.817;0.550;0.160;0.229;-0.196;0.975;-0.093;-0.120;-0.003;-0.476;0.548;14.347;-0.309;-0.815;-1.565;-0.003;-0.013;0.002;0.321;0.156;10.241;-102.600;-132.800;-311.200
17509.835233171;-1.809;0.542;0.145;0.230;-0.193;0.977;-0.093;-0.122;-0.001;-0.521;0.578;14.274;-0.309;-0.815;-1.565;-0.007;-0.014;-0.004;0.321;0.151;10.239;-103.800;-132.300;-308.800
17509.849283925;-1.847;0.565;0.168;0.229;-0.192;0.972;-0.090;-0.123;-0.004;-0.509;0.580;14.143;-0.309;-0.814;-1.570;-0.001;-0.016;0.004;0.321;0.160;10.246;-103.100;-134.100;-308.700
17509.863271735;-1.824;0.534;0.153;0.220;-0.195;0.975;-0.099;-0.123;-0.000;-0.461;0.604;14.010;-0.307;-0.817;-1.571;-0.002;-0.016;0.003;0.335;0.167;10.234;-103.300;-133.600;-308.900
17509.877315045;-1.847;0.542;0.176;0.230;-0.196;0.971;-0.092;-0.124;-0.002;-0.495;0.596;13.828;-0.307;-0.817;-1.571;-0.005;-0.014;0.006;0.321;0.144;10.232;-102.200;-133.300;-310.000
17509.890965435;-1.817;0.534;0.168;0.230;-0.191;0.975;-0.087;-0.121;-0.000;-0.485;0.533;14.083;-0.310;-0.805;-1.580;-0.004;-0.009;0.003;0.321;0.158;10.251;-103.000;-133.600;-309.400
17509.904471643;-1.840;0.550;0.122;0.227;-0.192;0.971;-0.096;-0.124;-0.003;-0.435;0.538;14.053;-0.310;-0.805;-1.580;-0.005;-0.013;0.003;0.325;0.156;10.241;-103.100;-133.100;-310.200
17509.918451898;-1.847;0.534;0.153;0.229;-0.191;0.979;-0.091;-0.123;-0.005;-0.528;0.552;14.021;-0.319;-0.808;-1.571;-0.006;-0.018;0.003;0.330;0.148;10.260;-103.400;-133.200;-308.300
