time;ToF[cm]
1659331727.9983785;19.1
1659331728.0014582;19.1
1659331728.0038853;19.1
1659331728.0070045;19.1
1659331728.0107365;19.1
1659331728.0126667;19.1
1659331728.0145733;19.1
1659331728.0165865;19.1
1659331728.0185237;19.1
1659331728.0203052;19.1
1659331728.0221415;19.1
1659331728.0239851;19.1
1659331728.0258038;19.1
1659331728.0277486;19.1
1659331728.0297868;19.1
1659331728.031684;19.1
1659331728.036132;19.1
1659331728.0382805;19.1
1659331728.0404055;19.1
1659331728.0421436;19.1
1659331728.0440748;19.1
1659331728.0460725;19.1
1659331728.047883;19.1
1659331728.0498238;19.1
1659331728.051655;19.1
1659331728.0535588;19.1
1659331728.0554645;19.1
1659331728.0573251;19.1
1659331728.0590851;19.1
1659331728.0608034;19.1
1659331728.0625184;19.1
1659331728.0644298;19.1
1659331728.0662122;19.1
1659331728.0679767;19.1
1659331728.069965;19.1
1659331728.071924;19.1
1659331728.0739672;19.1
1659331728.075958;19.1
1659331728.077892;19.1
1659331728.0797625;19.1
1659331728.0816846;19.1
1659331728.083555;19.1
1659331728.0854785;19.1
1659331728.0874994;19.1
1659331728.0896237;19.1
1659331728.0918965;19.1
1659331728.09402;19.1
1659331728.0959687;19.1
1659331728.097964;19.1
1659331728.099892;19.1
1659331728.101687;19.1
1659331728.103558;19.1
1659331728.1054811;19.1
1659331728.1072967;19.1
1659331728.109081;19.1
1659331728.110898;19.1
1659331728.11271;19.1
1659331728.1145847;19.1
1659331728.1165016;19.1
1659331728.1196244;19.1
1659331728.1232576;19.1
1659331728.1265922;19.1
1659331728.1319606;19.0
1659331728.1341262;19.0
1659331728.1361477;19.0
1659331728.1385643;19.0
1659331728.1414967;19.0
1659331728.1450658;19.0
1659331728.1487288;19.0
1659331728.1527462;19.0
1659331728.155263;19.0
1659331728.1586607;19.0
1659331728.161005;19.0
1659331728.1640391;19.0
1659331728.1664994;19.0
1659331728.169165;19.0
1659331728.171227;19.0
1659331728.173305;19.0
1659331728.175303;19.0
1659331728.1773698;19.0
1659331728.1792622;19.0
1659331728.1812127;19.0
1659331728.1832275;19.0
1659331728.1855013;19.0
1659331728.18756;19.0
1659331728.189364;19.0
1659331728.1911755;19.0
1659331728.1929197;19.0
1659331728.1946952;19.0
1659331728.1964016;19.0
1659331728.1982205;19.0
1659331728.1999848;19.0
1659331728.2017055;19.0
1659331728.203461;19.0
1659331728.2053187;19.0
1659331728.2070203;19.0
1659331728.2087486;19.0
1659331728.210509;19.0
1659331728.2122567;19.0
1659331728.2139673;19.0
1659331728.2157004;19.0
1659331728.2175043;19.0
1659331728.2192686;19.0
1659331728.2209697;19.0
1659331728.2226553;19.0
1659331728.226606;19.1
1659331728.2283742;19.1
1659331728.2302423;19.1
1659331728.2320254;19.1
1659331728.2337847;19.1
1659331728.2355685;19.1
1659331728.2373204;19.1
1659331728.2390563;19.1
1659331728.240903;19.1
1659331728.2426736;19.1
1659331728.2443693;19.1
