time;ToF[cm]
1657807961.075185;30.6
1657807961.0802982;30.6
1657807961.0827599;30.6
1657807961.0855842;30.6
1657807961.0906978;30.6
1657807961.0951467;30.6
1657807961.103922;30.6
1657807961.1070378;30.6
1657807961.1088314;30.6
1657807961.11115;30.6
1657807961.1134155;30.6
1657807961.1153955;30.6
1657807961.1199872;30.6
1657807961.1218457;30.6
1657807961.1240273;30.6
1657807961.1296453;30.6
1657807961.1316094;30.6
1657807961.1335657;30.6
1657807961.1353142;30.6
1657807961.1369724;30.6
1657807961.1387591;30.6
1657807961.140634;30.6
1657807961.1424851;30.6
1657807961.1442914;30.6
1657807961.1461945;30.6
1657807961.1480515;30.6
1657807961.149984;30.6
1657807961.1518698;30.6
1657807961.153944;30.6
1657807961.1558235;30.6
1657807961.1577964;30.6
1657807961.1600716;30.6
1657807961.1784768;30.6
1657807961.1891983;30.6
1657807961.19607;30.7
1657807961.199384;30.7
1657807961.204903;30.7
1657807961.2075;30.7
1657807961.2100275;30.7
1657807961.213061;30.7
1657807961.215491;30.7
1657807961.217285;30.7
1657807961.2192044;30.7
1657807961.2210996;30.7
1657807961.2229586;30.7
1657807961.224971;30.7
1657807961.227534;30.7
1657807961.2302623;30.7
1657807961.232226;30.7
1657807961.2340908;30.7
1657807961.2359478;30.7
1657807961.2379096;30.7
1657807961.2400725;30.7
1657807961.2420714;30.7
1657807961.2440517;30.7
1657807961.2460847;30.7
1657807961.2480261;30.7
1657807961.2515001;30.7
1657807961.255949;30.7
1657807961.2583017;30.7
1657807961.2604308;30.7
1657807961.2653604;30.7
1657807961.2679007;30.7
1657807961.2703009;30.7
1657807961.2723358;30.7
1657807961.2743216;30.7
1657807961.2775846;30.7
1657807961.2797134;30.7
1657807961.2818038;30.7
1657807961.2840807;30.7
1657807961.288666;30.6
1657807961.290859;30.6
1657807961.292896;30.6
1657807961.2954412;30.6
1657807961.2974365;30.6
1657807961.3002079;30.6
1657807961.302123;30.6
1657807961.3040154;30.6
1657807961.30576;30.6
1657807961.3074636;30.6
1657807961.3122113;30.6
1657807961.3141122;30.6
1657807961.3157616;30.6
1657807961.3173478;30.6
1657807961.3189714;30.6
1657807961.320613;30.6
1657807961.3221974;30.6
1657807961.3238955;30.6
1657807961.3254826;30.6
1657807961.327137;30.6
1657807961.3287535;30.6
1657807961.3303466;30.6
1657807961.3320036;30.6
1657807961.333668;30.6
1657807961.3353186;30.6
1657807961.336988;30.6
1657807961.3386452;30.6
1657807961.340287;30.6
1657807961.3420007;30.6
1657807961.3438387;30.6
1657807961.3455825;30.6
1657807961.3473215;30.6
1657807961.349128;30.6
1657807961.3507373;30.6
1657807961.3525445;30.6
1657807961.3543046;30.6
1657807961.3560443;30.6
1657807961.3578124;30.6
1657807961.359526;30.6
1657807961.3611789;30.6
1657807961.3629842;30.6
1657807961.3646705;30.6
1657807961.3662796;30.6
1657807961.3679018;30.6
1657807961.3695252;30.6
1657807961.3763535;30.6
1657807961.3781674;30.6
1657807961.3799837;30.6
1657807961.3818488;30.6
1657807961.3859355;30.6
1657807961.3877048;30.6
1657807961.3895104;30.6
1657807961.391195;30.6
1657807961.3928633;30.6
1657807961.3944442;30.6
1657807961.3960078;30.6
1657807961.397643;30.6
1657807961.3992405;30.6
1657807961.400845;30.6
1657807961.4024591;30.6
1657807961.404104;30.6
1657807961.4056883;30.6
1657807961.4073858;30.6
1657807961.4089692;30.6
1657807961.4106402;30.6
1657807961.4122045;30.6
1657807961.4137945;30.6
1657807961.4153864;30.6
1657807961.4169614;30.6
1657807961.4185722;30.6
1657807961.4201968;30.6
1657807961.4217668;30.6
1657807961.423377;30.6
1657807961.4249382;30.6
1657807961.426589;30.6
1657807961.4281516;30.6
1657807961.4298177;30.6
1657807961.4314792;30.6
1657807961.4330566;30.6
1657807961.4346542;30.6
1657807961.4363353;30.6
1657807961.4379137;30.6
1657807961.439474;30.6
1657807961.4411306;30.6
1657807961.4428988;30.6
1657807961.4445474;30.6
1657807961.4461613;30.6
1657807961.447853;30.6
1657807961.4495428;30.6
1657807961.4510992;30.6
1657807961.4525237;30.6
1657807961.453987;30.6
1657807961.4556592;30.6
1657807961.45722;30.6
1657807961.458824;30.6
1657807961.460553;30.6
1657807961.4621043;30.6
1657807961.463659;30.6
1657807961.4651635;30.6
1657807961.4667327;30.6
1657807961.468332;30.6
1657807961.4698853;30.6
1657807961.4714386;30.6
1657807961.473601;30.6
1657807961.4852645;30.6
1657807961.4876335;30.6
1657807961.4897242;30.6
1657807961.4918416;30.6
1657807961.4934444;30.6
1657807961.4954467;30.6
1657807961.4991481;30.6
1657807961.5016792;30.6
1657807961.5038083;30.6
1657807961.5056794;30.6
1657807961.5074303;30.6
1657807961.5098286;30.6
1657807961.512329;30.6
1657807961.5141907;30.6
1657807961.5161166;30.6
1657807961.51795;30.6
1657807961.5198662;30.6
1657807961.5215757;30.6
1657807961.5233057;30.6
1657807961.5248091;30.6
1657807961.5263572;30.6
1657807961.5280685;30.6
1657807961.530054;30.6
1657807961.5326152;30.6
1657807961.534438;30.6
1657807961.536383;30.6
1657807961.5380957;30.6
1657807961.5447786;30.6
1657807961.5465825;30.6
1657807961.5482664;30.6
1657807961.5500362;30.6
1657807961.551773;30.6
1657807961.5535717;30.6
1657807961.5555515;30.6
1657807961.5572393;30.6
1657807961.558987;30.6
1657807961.5614927;30.6
1657807961.5632842;30.6
1657807961.565053;30.6
1657807961.5666947;30.6
1657807961.576254;30.6
1657807961.5807383;30.7
1657807961.5825148;30.7
1657807961.5842748;30.7
1657807961.5859923;30.7
1657807961.5877042;30.7
1657807961.5899768;30.7
1657807961.5920334;30.7
1657807961.5941806;30.7
1657807961.5974884;30.7
1657807961.6000743;30.7
1657807961.602233;30.7
1657807961.6044154;30.7
1657807961.6064472;30.7
1657807961.6083796;30.7
1657807961.6102085;30.7
1657807961.612368;30.7
1657807961.6145797;30.7
1657807961.6164117;30.7
1657807961.6181157;30.7
1657807961.619785;30.7
1657807961.6213822;30.7
1657807961.6230013;30.7
1657807961.624585;30.7
1657807961.6261458;30.7
1657807961.627749;30.7
1657807961.6295567;30.7
1657807961.6314256;30.7
1657807961.6330242;30.7
1657807961.6346035;30.7
1657807961.6362572;30.7
1657807961.6378813;30.7
1657807961.6394784;30.7
1657807961.641022;30.7
1657807961.642663;30.7
1657807961.6442544;30.7
1657807961.6458108;30.7
1657807961.6476462;30.7
1657807961.649214;30.7
1657807961.6508496;30.7
1657807961.6525033;30.7
1657807961.6540577;30.7
1657807961.65584;30.7
1657807961.6576185;30.7
1657807961.6594431;30.7
1657807961.6611044;30.7
1657807961.6627262;30.7
1657807961.6644933;30.7
1657807961.6662788;30.7
1657807961.6679382;30.7
1657807961.6695704;30.7
1657807961.6766324;30.5
1657807961.6792858;30.5
1657807961.6811953;30.5
1657807961.6833868;30.5
1657807961.6856885;30.5
1657807961.6880374;30.5
1657807961.6901214;30.5
