time;ToF[cm]
1657807853.0039022;30.7
1657807853.0074933;30.7
1657807853.0100753;30.7
1657807853.0155966;30.5
1657807853.0179882;30.5
1657807853.0205998;30.5
1657807853.022993;30.5
1657807853.025229;30.5
1657807853.027293;30.5
1657807853.0292144;30.5
1657807853.031169;30.5
1657807853.033059;30.5
1657807853.035254;30.5
1657807853.0372913;30.5
1657807853.0392249;30.5
1657807853.041781;30.5
1657807853.0439835;30.5
1657807853.0464535;30.5
1657807853.0605404;30.5
1657807853.0624435;30.5
1657807853.0642824;30.5
1657807853.0661738;30.5
1657807853.0679567;30.5
1657807853.0697806;30.5
1657807853.0715303;30.5
1657807853.0734239;30.5
1657807853.0751877;30.5
1657807853.0769503;30.5
1657807853.0786667;30.5
1657807853.0804489;30.5
1657807853.0822191;30.5
1657807853.0839899;30.5
1657807853.0857656;30.5
1657807853.087597;30.5
1657807853.089456;30.5
1657807853.0912476;30.5
1657807853.0930324;30.5
1657807853.0947793;30.5
1657807853.0966198;30.5
1657807853.0985022;30.5
1657807853.100265;30.5
1657807853.1019523;30.5
1657807853.103723;30.5
1657807853.105401;30.5
1657807853.10925;30.6
1657807853.1110985;30.6
1657807853.1129556;30.6
1657807853.1149492;30.6
1657807853.1169584;30.6
1657807853.1191452;30.6
1657807853.1212335;30.6
1657807853.123224;30.6
1657807853.125304;30.6
1657807853.127241;30.6
1657807853.129334;30.6
1657807853.1313107;30.6
1657807853.1332567;30.6
1657807853.1353693;30.6
1657807853.137261;30.6
1657807853.1391425;30.6
1657807853.1412194;30.6
1657807853.1432402;30.6
1657807853.1452758;30.6
1657807853.1475506;30.6
1657807853.1500208;30.6
1657807853.151925;30.6
1657807853.1539814;30.6
1657807853.1559696;30.6
1657807853.157928;30.6
1657807853.1599214;30.6
1657807853.1618872;30.6
1657807853.1638036;30.6
1657807853.1657593;30.6
1657807853.1676993;30.6
1657807853.1694994;30.6
1657807853.1712258;30.6
1657807853.17303;30.6
1657807853.1747277;30.6
1657807853.1764352;30.6
1657807853.1781812;30.6
1657807853.1798394;30.6
1657807853.1816494;30.6
1657807853.1836412;30.6
1657807853.185486;30.6
1657807853.1872635;30.6
1657807853.1891322;30.6
1657807853.190877;30.6
1657807853.192641;30.6
1657807853.194306;30.6
1657807853.1960838;30.6
1657807853.197851;30.6
1657807853.199574;30.6
1657807853.2013721;30.6
1657807853.2053866;30.6
1657807853.2072105;30.6
1657807853.2088716;30.6
1657807853.2106512;30.6
1657807853.212398;30.6
1657807853.2141192;30.6
1657807853.215786;30.6
1657807853.2174478;30.6
1657807853.2191865;30.6
1657807853.2209327;30.6
1657807853.2228127;30.6
1657807853.2245822;30.6
1657807853.22635;30.6
1657807853.228029;30.6
1657807853.2296762;30.6
1657807853.2313042;30.6
1657807853.2333567;30.6
1657807853.235514;30.6
1657807853.2372015;30.6
1657807853.2387664;30.6
1657807853.2404716;30.6
1657807853.2421038;30.6
1657807853.2438571;30.6
1657807853.245655;30.6
1657807853.2475226;30.6
1657807853.24967;30.6
1657807853.251487;30.6
1657807853.2533784;30.6
1657807853.2550888;30.6
1657807853.2569063;30.6
1657807853.2587996;30.6
1657807853.2608914;30.6
1657807853.2629123;30.6
1657807853.2648654;30.6
1657807853.2667267;30.6
1657807853.2684975;30.6
1657807853.270173;30.6
1657807853.2719228;30.6
1657807853.2737093;30.6
1657807853.2756846;30.6
1657807853.2777565;30.6
1657807853.280151;30.6
1657807853.2821062;30.6
1657807853.2840612;30.6
1657807853.2860808;30.6
1657807853.2880366;30.6
1657807853.290159;30.6
1657807853.292156;30.6
1657807853.2941718;30.6
1657807853.2961905;30.6
1657807853.3005936;30.7
1657807853.30253;30.7
1657807853.304287;30.7
1657807853.306003;30.7
1657807853.3077247;30.7
1657807853.3095188;30.7
1657807853.3112617;30.7
1657807853.3129666;30.7
1657807853.3146203;30.7
1657807853.3162785;30.7
1657807853.3179674;30.7
1657807853.3197258;30.7
1657807853.3214417;30.7
1657807853.3231673;30.7
1657807853.3248682;30.7
1657807853.3266008;30.7
1657807853.328305;30.7
1657807853.3300264;30.7
1657807853.3317368;30.7
1657807853.3334157;30.7
1657807853.3351607;30.7
1657807853.3368678;30.7
1657807853.3386025;30.7
1657807853.3403778;30.7
1657807853.3422716;30.7
1657807853.344216;30.7
1657807853.346009;30.7
1657807853.3477356;30.7
1657807853.3494866;30.7
1657807853.3512578;30.7
1657807853.3530183;30.7
1657807853.3548298;30.7
1657807853.3566024;30.7
1657807853.3583279;30.7
1657807853.3600554;30.7
1657807853.3618026;30.7
1657807853.363582;30.7
1657807853.365358;30.7
1657807853.367129;30.7
1657807853.3688831;30.7
1657807853.37063;30.7
1657807853.3723083;30.7
1657807853.373975;30.7
1657807853.375753;30.7
1657807853.3774045;30.7
1657807853.3791835;30.7
1657807853.3810964;30.7
1657807853.382966;30.7
1657807853.3848033;30.7
1657807853.3865762;30.7
1657807853.3883808;30.7
1657807853.3902617;30.7
1657807853.3920074;30.7
1657807853.3937151;30.7
1657807853.397658;30.7
1657807853.3995323;30.7
1657807853.4013567;30.7
1657807853.403251;30.7
1657807853.4050639;30.7
1657807853.4067314;30.7
1657807853.408368;30.7
1657807853.4101534;30.7
1657807853.4119525;30.7
1657807853.4136446;30.7
1657807853.4152966;30.7
1657807853.4169831;30.7
1657807853.4186423;30.7
1657807853.4203463;30.7
1657807853.4220989;30.7
1657807853.4238133;30.7
1657807853.4254916;30.7
1657807853.4273586;30.7
1657807853.4290955;30.7
1657807853.4308085;30.7
1657807853.4325848;30.7
1657807853.4343061;30.7
1657807853.4360263;30.7
1657807853.4376817;30.7
1657807853.4392984;30.7
1657807853.44101;30.7
1657807853.4427354;30.7
1657807853.444488;30.7
1657807853.4462605;30.7
1657807853.447953;30.7
1657807853.4497495;30.7
1657807853.45147;30.7
1657807853.4531956;30.7
1657807853.454921;30.7
1657807853.4566894;30.7
1657807853.4583642;30.7
1657807853.460153;30.7
1657807853.4619746;30.7
1657807853.463582;30.7
1657807853.46508;30.7
1657807853.4666026;30.7
1657807853.4682593;30.7
1657807853.469941;30.7
1657807853.4716408;30.7
1657807853.4733427;30.7
1657807853.4749951;30.7
1657807853.4767025;30.7
1657807853.4786801;30.7
1657807853.4804902;30.7
1657807853.4821007;30.7
1657807853.4840813;30.7
1657807853.4861877;30.7
1657807853.4881427;30.7
1657807853.4923995;30.7
1657807853.4944732;30.7
1657807853.496589;30.7
1657807853.4988213;30.7
1657807853.501477;30.7
1657807853.5034897;30.7
1657807853.5054932;30.7
1657807853.5071893;30.7
1657807853.509057;30.7
1657807853.5111911;30.7
1657807853.5134344;30.7
1657807853.5155518;30.7
1657807853.517639;30.7
1657807853.5198162;30.7
1657807853.5221581;30.7
1657807853.5243726;30.7
1657807853.5266342;30.7
1657807853.5287657;30.7
1657807853.5308187;30.7
1657807853.5329318;30.7
1657807853.5350888;30.7
1657807853.5371249;30.7
1657807853.5389483;30.7
1657807853.5407376;30.7
1657807853.5424316;30.7
1657807853.5441883;30.7
1657807853.5459487;30.7
1657807853.5476148;30.7
1657807853.5493426;30.7
1657807853.5510428;30.7
1657807853.5527332;30.7
1657807853.5543964;30.7
1657807853.5560489;30.7
1657807853.5577497;30.7
1657807853.5595207;30.7
1657807853.5612361;30.7
1657807853.5629392;30.7
1657807853.5647173;30.7
1657807853.566437;30.7
1657807853.5681381;30.7
1657807853.5698278;30.7
1657807853.5715435;30.7
1657807853.5732095;30.7
1657807853.5749226;30.7
1657807853.5766175;30.7
1657807853.5783777;30.7
1657807853.580151;30.7
1657807853.5818262;30.7
1657807853.5835633;30.7
1657807853.585297;30.7
1657807853.5891478;30.8
1657807853.5908751;30.8
1657807853.5925374;30.8
1657807853.5942247;30.8
1657807853.5959697;30.8
1657807853.5977268;30.8
1657807853.5994642;30.8
1657807853.601129;30.8
1657807853.6028593;30.8
1657807853.6045225;30.8
1657807853.6062238;30.8
1657807853.607977;30.8
1657807853.6096807;30.8
1657807853.611396;30.8
1657807853.6131208;30.8
1657807853.6148381;30.8
1657807853.6165268;30.8
1657807853.6182687;30.8
1657807853.619963;30.8
1657807853.6217136;30.8
1657807853.6234832;30.8
1657807853.6252341;30.8
1657807853.6270156;30.8
1657807853.6288562;30.8
1657807853.6306515;30.8
1657807853.6323133;30.8
1657807853.6340067;30.8
1657807853.6357145;30.8
1657807853.6373963;30.8
1657807853.6391242;30.8
1657807853.6407838;30.8
1657807853.64239;30.8
1657807853.643932;30.8
1657807853.6455944;30.8
1657807853.6471808;30.8
1657807853.6488402;30.8
1657807853.650471;30.8
1657807853.6520917;30.8
1657807853.6537418;30.8
1657807853.6554816;30.8
1657807853.657097;30.8
1657807853.658747;30.8
1657807853.6690004;30.8
1657807853.6708894;30.8
1657807853.6726668;30.8
1657807853.674637;30.8
1657807853.6762972;30.8
1657807853.6780436;30.8
1657807853.6798532;30.8
1657807853.6815631;30.8
1657807853.6854403;30.7
1657807853.6870987;30.7
1657807853.688773;30.7
1657807853.69049;30.7
1657807853.6921656;30.7
1657807853.693819;30.7
1657807853.6955159;30.7
1657807853.6972744;30.7
1657807853.6990604;30.7
1657807853.7007465;30.7
1657807853.7024448;30.7
1657807853.7041082;30.7
1657807853.705858;30.7
1657807853.7075465;30.7
1657807853.7092206;30.7
1657807853.7109036;30.7
1657807853.7126431;30.7
1657807853.7143326;30.7
1657807853.7160587;30.7
1657807853.7178035;30.7
1657807853.7194722;30.7
1657807853.7211158;30.7
1657807853.7227793;30.7
1657807853.7244265;30.7
1657807853.7261708;30.7
1657807853.7278671;30.7
1657807853.7296224;30.7
1657807853.7313373;30.7
1657807853.7330523;30.7
1657807853.7347941;30.7
1657807853.7366333;30.7
1657807853.7383847;30.7
1657807853.7401378;30.7
1657807853.7418714;30.7
1657807853.743644;30.7
1657807853.7455103;30.7
1657807853.7472074;30.7
1657807853.7489212;30.7
1657807853.750718;30.7
1657807853.7523973;30.7
1657807853.7540634;30.7
1657807853.7558217;30.7
1657807853.7574923;30.7
1657807853.7591553;30.7
1657807853.7608654;30.7
1657807853.762642;30.7
1657807853.7643538;30.7
1657807853.7660303;30.7
1657807853.7677124;30.7
1657807853.769487;30.7
1657807853.7711568;30.7
1657807853.7728105;30.7
1657807853.7745185;30.7
1657807853.7762246;30.7
1657807853.7803411;30.6
1657807853.7822342;30.6
1657807853.7840276;30.6
1657807853.785807;30.6
1657807853.7876084;30.6
1657807853.7894723;30.6
1657807853.7912786;30.6
1657807853.7930264;30.6
1657807853.7948728;30.6
1657807853.79672;30.6
1657807853.7985342;30.6
1657807853.8002493;30.6
1657807853.8019793;30.6
1657807853.8036928;30.6
1657807853.80539;30.6
1657807853.8070407;30.6
1657807853.808696;30.6
1657807853.8103929;30.6
1657807853.8121428;30.6
1657807853.8138912;30.6
1657807853.815565;30.6
1657807853.8172314;30.6
1657807853.8189695;30.6
1657807853.8207235;30.6
1657807853.822446;30.6
1657807853.824178;30.6
1657807853.8259017;30.6
1657807853.8275776;30.6
1657807853.8293846;30.6
1657807853.8310642;30.6
1657807853.8327649;30.6
1657807853.8348293;30.6
1657807853.8365195;30.6
1657807853.8380885;30.6
1657807853.8397675;30.6
1657807853.8413663;30.6
1657807853.843064;30.6
1657807853.8449605;30.6
1657807853.8477542;30.6
1657807853.8495052;30.6
1657807853.8513756;30.6
1657807853.853107;30.6
1657807853.8548028;30.6
1657807853.8566341;30.6
1657807853.8587844;30.6
1657807853.8609645;30.6
1657807853.8630846;30.6
1657807853.865009;30.6
1657807853.8672137;30.6
1657807853.8695397;30.6
1657807853.8717294;30.6
1657807853.873836;30.6
1657807853.8784082;30.7
1657807853.8806098;30.7
1657807853.882846;30.7
1657807853.8848968;30.7
1657807853.8869452;30.7
1657807853.8887186;30.7
1657807853.8903954;30.7
